#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-23T03:52:57 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-23T03:52:57	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/AJ/156/84/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/156/84/table1&-out=RAJ2000&-out=DEJ2000&-out=2MASS&-out=Gaia&-out=more&-out=Nep&-out=Teff&-out=logg&-out=l_RVmean&-out=RVmean&-out=Fbol&-out=Av&-out=Theta&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51560084
#Name: J/AJ/156/84
#Title: APOGEE-2 survey of Orion Complex. II. (Kounkel+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/aj/156/84	    IVOID of underlying data collection
#INFO	creator=Kounkel M.	    First author or institution
#INFO	cites=bibcode:2018AJ....156...84K	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/156/84	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51560084	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-05-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_156_84_table1:
#Name: J/AJ/156/84/table1
#Title: Properties derived from the APOGEE spectra towards the stars in Orion
#Column	RAJ2000	(F18.14)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F18.14)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A18)	2MASS position based identifier (2MHHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Gaia	(I19)	? Gaia DR2 identifier	[ucd=meta.id]
#Column	more	(A1)	indicates data in Table 2 for this star	[ucd=meta.ref.url]
#Column	Nep	(I2)	[1/27] Number of epochs	[ucd=meta.number]
#Column	Teff	(F8.2)	[2300.05/14999.8] Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F9.6)	[-0.497235/5.99984] Surface gravity	[ucd=phys.gravity]
#Column	l_RVmean	(A1)	[<] Limit flag on RVmean	[ucd=meta.code.error]
#Column	RVmean	(F10.5)	[-170.587/552.16] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	Fbol	(F11.6)	[0.028791/2481.34]? Bolometric flux (in 10^-10^ erg/s/cm^2^)	[ucd=phot.flux.bol]
#Column	Av	(F5.2)	[0.05/4.5]? Visual extinction	[ucd=phys.absorption;em.opt.V]
#Column	Theta	(F10.6)	[4.91477/166.521]? Stellar angular radius {Theta}	[ucd=phys.angSize;src]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	2MASS	Gaia	more	Nep	Teff	logg	l_RVmean	RVmean	Fbol	Av	Theta	SimbadName
deg	deg	 	 	 	 	K	[cm/s2]	 	km/s	10-13W/m2	mag	uarcsec	
------------------	------------------	------------------	-------------------	-	--	--------	---------	-	----------	-----------	-----	----------	----------------------------
085.13871002197270	-10.14806365966800	2M05403328-1008530	3011876641301608832	*	 1	 4575.03	 3.359930	 	 -12.37910	   2.367045	 2.40	 20.134166	2MASS J05403328-1008530
084.91588592529300	-10.08735847473150	2M05393981-1005144	3010568050666860160	*	 1	 3863.28	 5.063480	 	  65.83510	   0.652762	 1.15	 14.828022	2MASS J05393981-1005144
085.74973297119141	-10.06118106842040	2M05425993-1003402	3011892790378687744	*	 1	 4005.44	 4.439270	 	  18.95980	   1.227168	 4.35	 18.913409	2MASS J05425993-1003402
085.65460205078119	-10.05829811096190	2M05423710-1003298	3011893408853983232	 	 1	 4439.94	 4.326460	 	  24.86930	   1.495250	 4.50	 16.991083	2MASS J05423710-1003298
085.68524169921881	-10.05520629882810	2M05424445-1003187	3011893473277246464	 	 1	 4475.21	 4.554050	 	  20.33390	           	     	          	2MASS J05424445-1003187
085.55170440673830	-10.03650474548340	2M05421240-1002114	3011882237642977536	 	 1	 3157.09	 3.396660	 	  20.94340	           	     	          	2MASS J05421240-1002114
085.61569213867190	-10.03090190887450	2M05422776-1001512	3011905434762412416	*	 1	 7566.37	 4.282290	<	  22.72630	           	     	          	2MASS J05422776-1001512
085.50039672851560	-10.01980876922610	2M05420009-1001113	3011883130996177280	 	 1	 4680.17	 4.628560	 	  21.26860	           	     	          	2MASS J05420009-1001113
085.65235900878911	-10.01722812652590	2M05423656-1001020	3011893821169847808	 	 1	 4069.31	 4.344910	 	  22.70340	           	     	          	2MASS J05423656-1001020
085.77056884765619	-10.00544643402100	2M05430493-1000196	3011894714524030848	 	 1	 3999.58	 4.463860	 	  19.59340	           	     	          	2MASS J05430493-1000196
085.57952117919920	-10.00221538543700	2M05421908-1000079	                   	 	 1	 3748.43	 5.980890	<	  33.53380	           	     	          	2MASS J05421908-1000079
085.65428161621089	-09.99382305145264	2M05423702-0959377	3011905980222014720	 	 1	 3983.51	 4.440510	 	  21.93550	           	     	          	2MASS J05423702-0959377
085.86255645751950	-09.99376964569092	2M05432701-0959375	3011892137543646080	*	 1	 5388.56	 4.709640	 	  20.86340	   6.618936	 2.05	 24.269838	2MASS J05432701-0959375
084.73970031738280	-09.98587226867676	2M05385752-0959091	3010584234103442944	 	 1	 5637.37	 5.344920	 	  -3.68170	   2.285892	 1.50	 13.031458	2MASS J05385752-0959091
085.39842987060550	-09.98319721221924	2M05413562-0958595	3011886846143896832	*	 1	 4208.57	 2.475520	 	  -9.79590	  84.967576	 4.50	142.552815	2MASS J05413562-0958595
085.54331970214839	-09.97727680206299	2M05421039-0958381	3011906770496177664	 	 1	 4179.44	 4.529790	 	  20.61740	   1.224007	 4.50	 17.348986	2MASS J05421039-0958381
085.63189697265619	-09.96147823333740	2M05423165-0957413	3011906328115691520	 	 1	 3756.51	 4.236220	 	  21.78490	           	     	          	2MASS J05423165-0957413
085.71561431884770	-09.96137809753418	2M05425174-0957409	3011895878459343616	 	 1	 4335.08	 4.525510	 	  19.89600	           	     	          	2MASS J05425174-0957409
085.55877685546881	-09.93892765045166	2M05421410-0956201	3011907015310374528	*	 1	 4645.52	 4.325850	 	  21.49070	   6.513461	 4.05	 32.393324	2MASS J05421410-0956201
085.86382293701170	-09.93860626220703	2M05432731-0956189	3011901311593787136	*	 1	 5106.56	 3.879410	 	  10.27540	  32.685563	 3.60	 60.053640	2MASS J05432731-0956189
085.66344451904300	-09.92577457427979	2M05423922-0955327	3011907977383041920	 	 1	 4396.39	 4.408050	 	  21.51730	           	     	          	2MASS J05423922-0955327
085.59317016601560	-09.92052268981934	2M05422236-0955138	3011907530706447488	*	 3	 6626.79	 4.245180	<	   2.11185	  32.943624	     	 35.801193	2MASS J05422236-0955138
084.33380889892580	-09.91214847564697	2M05372011-0954437	3010641614866549888	 	 1	 3741.85	 3.941780	 	  18.84380	   1.377985	 2.40	 22.965067	2MASS J05372011-0954437
